time	V(vout)
Step Information: Run=0  (Run: 1/65)
3.787004307602805e+000	1.388960e-002
3.787004405773447e+000	1.855998e-002
3.787004491922705e+000	2.565481e-002
3.787004570035196e+000	3.687311e-002
3.787004645039069e+000	5.592049e-002
3.787004726925112e+000	9.113259e-002
3.787004805566728e+000	1.447258e-001
3.787004908480308e+000	2.420012e-001
3.787005021507207e+000	3.702365e-001
3.787005158726054e+000	5.392326e-001
3.787005319131222e+000	7.421140e-001
3.787005624056389e+000	1.131295e+000
3.787006233906722e+000	1.911409e+000
3.787006860279675e+000	2.709806e+000
3.787007158544809e+000	3.085696e+000
3.787007188653604e+000	3.122227e+000
3.787007248871195e+000	3.191573e+000
3.787007291174031e+000	3.236645e+000
3.787007341829025e+000	3.278872e+000
3.787007357649964e+000	3.286305e+000
3.787007382849189e+000	3.293476e+000
3.787007390602461e+000	3.294940e+000
3.787007401868069e+000	3.296227e+000
3.787007413384867e+000	3.297039e+000
3.787007423991674e+000	3.297554e+000
3.787007438762361e+000	3.298043e+000
3.787007457093583e+000	3.298453e+000
3.787007476062266e+000	3.298730e+000
3.787007507133881e+000	3.299013e+000
3.787007539584573e+000	3.299192e+000
3.787007604485957e+000	3.299390e+000
3.787007665297530e+000	3.299493e+000
3.787007786920674e+000	3.299592e+000
3.787007959531255e+000	3.299661e+000
3.787008304752418e+000	3.299715e+000
3.787008995194742e+000	3.299753e+000
3.787010376079391e+000	3.299777e+000
3.787013137848689e+000	3.299790e+000
3.787029708464475e+000	3.299799e+000
